gene_symbol,chromosome,start,species
RHOC,1,112703001,human
PPM1J,1,112711993,human
TAFA3,1,112720419,human
UBIAD1,1,11273934,human
SLC16A1,1,112911856,human
LRIG2,1,113073198,human
MAGI3,1,113390989,human
PHTF1,1,113697202,human
RSBN1,1,113761833,human
PTPN22,1,113813812,human
BCL2L15,1,113881123,human
AP4B1,1,113900231,human
DCLRE1B,1,113905409,human
HIPK1,1,113929374,human
OLFML3,1,113979391,human
SYT6,1,114139653,human
TRIM33,1,114397608,human
BCAS2,1,114567557,human
DENND2C,1,114582851,human
AMPD1,1,114673101,human
NRAS,1,114704469,human
CSDE1,1,114739870,human
SIKE1,1,114769479,human
SYCP1,1,114854868,human
TSHB,1,115029826,human
TSPAN2,1,115050383,human
NGF,1,115286025,human
DISP3,1,11533676,human
VANGL1,1,115641970,human
CASQ2,1,115700021,human
NHLH2,1,115838052,human
SLC22A15,1,115976614,human
MAB21L3,1,116111854,human
ATP1A1,1,116399471,human
FBXO2,1,11650547,human
CD58,1,116521787,human
FBXO44,1,11654857,human
IGSF3,1,116574399,human
FBXO6,1,11668696,human
MAD2L2,1,11674480,human
CD2,1,116754467,human
PTGFRN,1,116909916,human
DRAXIN,1,11691710,human
CD101,1,117001760,human
TTF2,1,117096171,human
TRIM45,1,117118034,human
VTCN1,1,117143588,human
AGTRAP,1,11736175,human
MAN1A2,1,117502861,human
TENT5C,1,117606048,human
C1ORF167,1,11779817,human
GDAP2,1,117877222,human
WDR3,1,117929720,human
SPAG17,1,117965097,human
MTHFR,1,11803028,human
CLCN6,1,11806096,human
NPPA,1,11845879,human
TTLL10,1,1185036,human
NPPB,1,11857464,human
TBX15,1,118883047,human
WARS2,1,119031216,human
KIAA2013,1,11922175,human
PLOD1,1,11934743,human
HAO2,1,119368779,human
HSD3B2,1,119414931,human
HSD3B1,1,119507318,human
ZNF697,1,119619377,human
PHGDH,1,119721276,human
HMGCS2,1,119748384,human
REG4,1,119801172,human
MFN2,1,11980446,human
ADAM30,1,119893533,human
NOTCH2,1,120029906,human
SEC22B,1,120157291,human
MIIP,1,12019498,human
TNFRSF18,1,1203844,human
NOTCH2NLR,1,120723946,human
NBPF26,1,120813906,human
PPIAL4A,1,120889771,human
FCGR1B,1,121087345,human
TNFRSF4,1,1211340,human
FAM72B,1,121168735,human
SRGAP2C,1,121187102,human
TNFRSF8,1,12125899,human
TNFRSF1B,1,12167003,human
SDF4,1,1216909,human
B3GALT6,1,1232237,human
C1QTNF12,1,1242453,human
VPS13D,1,12464940,human
UBE2J2,1,1253914,human
DHRS3,1,12578718,human
AADACL4,1,12644085,human
AADACL3,1,12716110,human
C1ORF158,1,12746425,human
PRAMEF12,1,12773738,human
PRAMEF1,1,12791397,human
SCNN1D,1,1281224,human
PRAMEF11,1,12824605,human
HNRNPCL1,1,12847377,human
PRAMEF2,1,12857086,human
PRAMEF4,1,12879212,human
PRAMEF10,1,12892896,human
PRAMEF7,1,12916610,human
ACAP3,1,1293564,human
PRAMEF6,1,12938472,human
PRAMEF27,1,13049476,human
HNRNPCL3,1,13061158,human
PRAMEF25,1,13070853,human
PUSL1,1,1308821,human
HNRNPCL2,1,13115488,human
INTS11,1,1311585,human
PRAMEF26,1,13148907,human
HNRNPCL4,1,13163914,human
PRAMEF9,1,13171848,human
PRAMEF13,1,13196188,human
PRAMEF18,1,13222705,human
CPTP,1,1325241,human
PRAMEF5,1,13254212,human
PRAMEF8,1,13281168,human
PRAMEF33,1,13303539,human
TAS1R3,1,1331280,human
PRAMEF15,1,13315581,human
PRAMEF14,1,13341892,human
PRAMEF19,1,13369067,human
DVL1,1,1337023,human
PRAMEF17,1,13389632,human
PRAMEF20,1,13416351,human
LRRC38,1,13474973,human
MXRA8,1,1352689,human
PDPN,1,13585480,human
AURKAIP1,1,1373737,human
PRDM2,1,13771726,human
CCNL2,1,1395437,human
MRPL20,1,1405109,human
ANKRD65,1,1419138,human
TMEM88B,1,1425871,human
VWA1,1,1435735,human
H3-2,1,143905510,human
FAM72C,1,143955878,human
PPIAL4E,1,144372875,human
NBPF15,1,144439993,human
PPIAL4F,1,144592893,human
SRGAP2B,1,144897236,human
ATAD3C,1,1449914,human
FAM72D,1,145095974,human
PPIAL4D,1,145241415,human
NBPF20,1,145289900,human
GPR89A,1,145608613,human
PDZK1,1,145670852,human
CD160,1,145728244,human
RNF115,1,145738868,human
POLR3C,1,145824200,human
NUDT17,1,145845630,human
PIAS3,1,145856761,human
ANKRD35,1,145866564,human
ITGA10,1,145891214,human
PEX11B,1,145911351,human
RBM8A,1,145925642,human
LIX1L,1,145933423,human
ANKRD34A,1,145961449,human
POLR3GL,1,145964703,human
TXNIP,1,145993839,human
HJV,1,146019552,human
NBPF10,1,146113652,human
NOTCH2NLA,1,146164841,human
PPIAL4H,1,146344006,human
NBPF12,1,146959971,human
PRKAB2,1,147155106,human
ATAD3B,1,1471784,human
FMO5,1,147184492,human
CHD1L,1,147243140,human
BCL9,1,147606785,human
ACP6,1,147655226,human
GJA5,1,147758484,human
GJA8,1,147902795,human
GPR89B,1,147953433,human
NBPF11,1,148102151,human
PPIAL4G,1,148482548,human
NBPF14,1,148593645,human
NOTCH2NLB,1,148607040,human
NUDT4B,1,148748774,human
PDE4DIP,1,148889403,human
NBPF9,1,149058182,human
KAZN,1,14929800,human
NOTCH2NLC,1,149406376,human
NBPF19,1,149499966,human
PPIAL4C,1,149583848,human
FCGR1A,1,149782694,human
H2BC18,1,149811879,human
H3C13,1,149813225,human
H4C14,1,149832678,human
H3C14,1,149840687,human
H2AC18,1,149842218,human
H2AC19,1,149851061,human
H3C15,1,149852608,human
H4C15,1,149860764,human
H2BC21,1,149884459,human
H2AC20,1,149886918,human
H2AC21,1,149887469,human
BOLA1,1,149899626,human
SV2A,1,149905472,human
SF3B4,1,149926382,human
MTMR11,1,149928652,human
OTUD7B,1,149947291,human
VPS45,1,150067668,human
PLEKHO1,1,150149916,human
ANP32E,1,150218418,human
CA14,1,150263044,human
APH1A,1,150265399,human
C1ORF54,1,150272780,human
CIART,1,150282554,human
MRPS21,1,150293920,human
PRPF3,1,150321533,human
RPRD2,1,150364147,human
TARS2,1,150487870,human
ECM1,1,150508109,human
ADAMTSL4,1,150552088,human
MCL1,1,150577070,human
ENSA,1,150627054,human
GOLPH3L,1,150648437,human
HORMAD1,1,150706630,human
CTSS,1,150751006,human
CTSK,1,150796256,human
ARNT,1,150839608,human
CTXND2,1,150887136,human
SETDB1,1,150926640,human
CERS2,1,150968107,human
ANXA9,1,150982292,human
MINDY1,1,150997361,human
PRUNE1,1,151024742,human
BNIPL,1,151038840,human
C1ORF56,1,151047751,human
CDC42SE1,1,151050985,human
MLLT11,1,151060397,human
GABPB2,1,151088158,human
SEMA6C,1,151131707,human
TNFAIP8L2,1,151156649,human
LYSMD1,1,151160585,human
SCNM1,1,151166079,human
TMOD4,1,151172329,human
VPS72,1,151176462,human
PIP5K1A,1,151213517,human
PSMD4,1,151266544,human
ZNF687,1,151290451,human
PI4KB,1,151315640,human
RFX5,1,151345142,human
SELENBP1,1,151369068,human
PSMB4,1,151399573,human
POGZ,1,151442181,human
CGN,1,151519370,human
TMEM51,1,15152532,human
TUFT1,1,151540308,human
SNX27,1,151658369,human
CELF3,1,151702415,human
RIIAD1,1,151721522,human
MRPL9,1,151761962,human
OAZ3,1,151767248,human
TDRKH,1,151780087,human
LINGO4,1,151800264,human
RORC,1,151814694,human
C2CD4D,1,151837819,human
THEM5,1,151847282,human
THEM4,1,151894830,human
S100A10,1,151982918,human
S100A11,1,152032506,human
TCHHL1,1,152084141,human
TCHH,1,152106317,human
RPTN,1,152153595,human
HRNR,1,152212076,human
FLG,1,152302165,human
FLG2,1,152348735,human
ATAD3A,1,1523955,human
CRNN,1,152409243,human
LCE5A,1,152510803,human
CRCT1,1,152514482,human
LCE3E,1,152565654,human
LCE3D,1,152579381,human
LCE3C,1,152600662,human
LCE3B,1,152613811,human
LCE3A,1,152622834,human
LCE2D,1,152663380,human
LCE2C,1,152675279,human
LCE2B,1,152686123,human
LCE2A,1,152698345,human
LCE4A,1,152708160,human
C1ORF68,1,152719522,human
KPRP,1,152759561,human
LCE1F,1,152775140,human
LCE1E,1,152787300,human
LCE1D,1,152796721,human
LCE1C,1,152805226,human
LCE1B,1,152811971,human
LCE1A,1,152827473,human
LCE6A,1,152842856,human
SMCP,1,152878322,human
IVL,1,152908546,human
SPRR5,1,152947154,human
SPRR4,1,152970648,human
SPRR1A,1,152985231,human
SPRR3,1,153001751,human
SPRR1B,1,153031203,human
SPRR2D,1,153039848,human
SPRR2A,1,153056120,human
SPRR2B,1,153070226,human
SPRR2E,1,153093135,human
SPRR2F,1,153112121,human
SPRR2G,1,153149582,human
LELP1,1,153203430,human
PRR9,1,153217584,human
LORICRIN,1,153259687,human
PGLYRP3,1,153297116,human
PGLYRP4,1,153330120,human
S100A9,1,153357854,human
S100A12,1,153373711,human
S100A8,1,153390032,human
S100A7A,1,153417944,human
S100A7L2,1,153437058,human
S100A7,1,153457744,human
S100A6,1,153534714,human
S100A5,1,153537147,human
S100A4,1,153543621,human
S100A3,1,153547513,human
S100A2,1,153561349,human
S100A16,1,153607362,human
S100A14,1,153614255,human
S100A13,1,153618804,human
FHAD1,1,15362697,human
S100A1,1,153628464,human
CHTOP,1,153638342,human
SNAPIN,1,153658703,human
ILF2,1,153661788,human
NPR1,1,153678688,human
INTS3,1,153773034,human
SLC27A3,1,153778512,human
GATAD2B,1,153828266,human
TMEM240,1,1539056,human
DENND4B,1,153941929,human
CRTC2,1,153947675,human
SLC39A1,1,153960454,human
CREB3L4,1,153968310,human
JTB,1,153974682,human
RAB13,1,153981650,human
RPS27,1,153990763,human
NUP210L,1,153992694,human
EFHD2,1,15410265,human
TPM3,1,154155304,human
C1ORF189,1,154199085,human
C1ORF43,1,154212133,human
UBAP2L,1,154220849,human
HAX1,1,154272668,human
AQP10,1,154321120,human
ATP8B2,1,154327800,human
CTRC,1,15438443,human
IL6R,1,154434653,human
SHE,1,154479481,human
TDRD10,1,154502972,human
UBE2Q1,1,154548577,human
CELA2A,1,15456732,human
CHRNB2,1,154569528,human
ADAR,1,154597265,human
KCNN3,1,154697474,human
CELA2B,1,15476465,human
PMVK,1,154924740,human
PBXIP1,1,154947653,human
PYGO2,1,154958740,human
SHC1,1,154968502,human
CKS1B,1,154974683,human
FLAD1,1,154988541,human
LENEP,1,154993586,human
ZBTB7B,1,155014448,human
DCST2,1,155018583,human
DCST1,1,155033970,human
ADAM15,1,155051352,human
EFNA4,1,155063761,human
EFNA3,1,155078837,human
EFNA1,1,155127876,human
SLC50A1,1,155135867,human
DPM3,1,155139891,human
KRTCAP2,1,155169409,human
TRIM46,1,155174754,human
CASP9,1,15518136,human
MUC1,1,155186123,human
THBS3,1,155197897,human
MTX1,1,155209247,human
GBA,1,155234868,human
FAM189B,1,155248074,human
SCAMP3,1,155255981,human
CLK2,1,155262874,human
DNAJC16,1,15526813,human
HCN3,1,155277463,human
PKLR,1,155295135,human
FDPS,1,155308970,human
RUSC1,1,155325567,human
ASH1L,1,155459797,human
MSTO1,1,155613221,human
YY1AP1,1,155672560,human
AGMAT,1,15571699,human
DAP3,1,155737012,human
GON4L,1,155764584,human
SYT11,1,155859567,human
RIT1,1,155904374,human
KHDC4,1,155921385,human
RXFP4,1,155941638,human
ARHGEF2,1,155985375,human
SSR2,1,156018270,human
UBQLN4,1,156035299,human
LAMTOR2,1,156054850,human
RAB25,1,156061160,human
MEX3A,1,156072013,human
SSU72,1,1560848,human
LMNA,1,156126555,human
SEMA4A,1,156154371,human
SLC25A44,1,156194104,human
PMF1-BGLAP,1,156213009,human
PMF1,1,156213026,human
BGLAP,1,156242184,human
PAQR6,1,156245154,human
SMG5,1,156249224,human
TMEM79,1,156284325,human
GLMP,1,156293423,human
VHLL,1,156298624,human
DDI2,1,15630425,human
CCT3,1,156324980,human
TSACC,1,156338902,human
RHBG,1,156369251,human
MEF2D,1,156483261,human
IQGAP3,1,156525405,human
TTC24,1,156579723,human
NAXE,1,156591778,human
GPATCH4,1,156596081,human
RSC1A1,1,15659713,human
HAPLN2,1,156619424,human
BCAN,1,156647128,human
NES,1,156668763,human
CRABP2,1,156700875,human
ISG20L2,1,156721895,human
METTL25B,1,156732385,human
MRPL24,1,156738418,human
HDGF,1,156743345,human
PRCC,1,156786891,human
SH2D2A,1,156806244,human
INSRR,1,156840063,human
PLEKHM2,1,15684556,human
NTRK1,1,156879349,human
PEAR1,1,156893725,human
LRRC71,1,156920632,human
ARHGEF11,1,156935524,human
ETV3L,1,157092043,human
ETV3,1,157133145,human
SLC25A34,1,15736258,human
TMEM82,1,15742499,human
FCRL5,1,157531964,human
FCRL4,1,157573747,human
FBLIM1,1,15764953,human
FCRL3,1,157697216,human
FCRL2,1,157766614,human
FCRL1,1,157795855,human
CD5L,1,157830911,human
KIRREL1,1,157993273,human
UQCRHL,1,15807169,human
SMIM42,1,158127287,human
CD1D,1,158180895,human
CD1A,1,158254424,human
CD1C,1,158291270,human
CD1B,1,158327955,human
CD1E,1,158355894,human
OR10T2,1,158398522,human
OR10K2,1,158418210,human
OR10K1,1,158461834,human
OR10R2,1,158479911,human
OR6Y1,1,158544550,human
OR6P1,1,158560606,human
OR10X1,1,158578919,human
OR10Z1,1,158605268,human
SPTA1,1,158610704,human
OR6K2,1,158699678,human
OR6K3,1,158717168,human
OR6K6,1,158754720,human
OR6N1,1,158764236,human
SPEN,1,15876576,human
OR6N2,1,158774222,human
MNDA,1,158845901,human
PYHIN1,1,158931568,human
IFI16,1,159015673,human
AIM2,1,159063579,human
CADM3,1,159171759,human
ACKR1,1,159204875,human
FCER1A,1,159302336,human
OR10J3,1,159313720,human
ZBTB17,1,15942407,human
OR10J4,1,159432204,human
OR10J1,1,159439722,human
OR10J5,1,159535078,human
APCS,1,159587826,human
CRP,1,159712563,human
DUSP23,1,159780962,human
FNDC10,1,1598012,human
FCRL6,1,159802424,human
SLAMF8,1,159826873,human
VSIG8,1,159854316,human
CFAP45,1,159886599,human
TAGLN2,1,159918838,human
IGSF9,1,159927041,human
SLAMF9,1,159951492,human
PIGM,1,160024953,human
KCNJ10,1,160038853,human
SRARP,1,16004236,human
KCNJ9,1,160081538,human
IGSF8,1,160091350,human
ATP1A2,1,160127672,human
HSPB7,1,16015499,human
ATP1A4,1,160177411,human
CASQ1,1,160198210,human
PEA15,1,160205421,human
CLCNKA,1,16022036,human
DCAF8,1,160240298,human
PEX19,1,160280076,human
COPA,1,160294807,human
NCSTN,1,160352076,human
NHLH1,1,160367071,human
VANGL2,1,160400564,human
SLAMF6,1,160486693,human
CLCNKB,1,16052323,human
CD84,1,160541095,human
FAM131C,1,16057769,human
SLAMF1,1,160610765,human
CD48,1,160683519,human
SLAMF7,1,160739057,human
LY9,1,160814523,human
CD244,1,160831271,human
ITLN1,1,160876540,human
ITLN2,1,160945025,human
F11R,1,160998402,human
TSTD1,1,161037692,human
USF1,1,161041390,human
ARHGAP30,1,161054402,human
NECTIN4,1,161070998,human
KLHDC9,1,161098394,human
PFDN2,1,161100561,human
NIT1,1,161118118,human
DEDD,1,161122242,human
UFC1,1,161153978,human
USP21,1,161163555,human
PPOX,1,161169685,human
B4GALT3,1,161171312,human
ADAMTS4,1,161195979,human
NDUFS2,1,161202409,human
FCER1G,1,161215295,human
APOA2,1,161222508,human
TOMM40L,1,161226304,human
NR1I3,1,161231167,human
EPHA2,1,16124337,human
PCP4L1,1,161258745,human
MPZ,1,161305329,human
SDHC,1,161323614,human
CFAP126,1,161364733,human
FCGR2A,1,161513898,human
HSPA6,1,161524540,human
FCGR3A,1,161548421,human
FCGR2C,1,161581340,human
FCGR3B,1,161626357,human
FCGR2B,1,161663143,human
FCRLA,1,161707295,human
FCRLB,1,161722659,human
DUSP12,1,161749805,human
ATF6,1,161766564,human
OLFML2B,1,161983553,human
ARHGEF19,1,16205849,human
CPLANE2,1,16232281,human
NOS1AP,1,162362983,human
SPATA46,1,162374444,human
C1ORF226,1,162381728,human
SH2D1B,1,162395268,human
UHMK1,1,162497251,human
FBXO42,1,16251082,human
UAP1,1,162561506,human
DDR2,1,162632465,human
HSD17B7,1,162799832,human
MIB2,1,1628489,human
CCDC190,1,162854297,human
RGS4,1,163072146,human
RGS5,1,163142299,human
NUF2,1,163322046,human
MMP23B,1,1634240,human
CDK11B,1,1635738,human
SZRD1,1,16367265,human
SPATA21,1,16425097,human
NECAP2,1,16440772,human
PBX1,1,164792492,human
LMX1A,1,165203874,human
RXRG,1,165400923,human
LRRC52,1,165544000,human
MGST3,1,165632240,human
NBPF1,1,16564853,human
ALDH9A1,1,165662216,human
TMCO1,1,165754893,human
UCK2,1,165895585,human
FAM78B,1,166070020,human
SLC35E2B,1,1661479,human
POGK,1,166840089,human
TADA1,1,166856510,human
ILDR2,1,166918866,human
MAEL,1,166989089,human
GPA33,1,167063690,human
STYXL2,1,167094850,human
POU2F1,1,167371980,human
CD247,1,167430640,human
CREG1,1,167541013,human
RCSD1,1,167630093,human
MPZL1,1,167765570,human
ADCY10,1,167904610,human
MPC2,1,167920011,human
DCAF6,1,167936559,human
GPR161,1,168079542,human
TIPRL,1,168179055,human
SFT2D2,1,168226008,human
TBX19,1,168297624,human
XCL2,1,168540768,human
XCL1,1,168576605,human
DPT,1,168695468,human
ATP1B1,1,169110867,human
NME7,1,169230714,human
CROCC,1,16936791,human
BLZF1,1,169368237,human
CCDC181,1,169421363,human
SLC19A2,1,169464048,human
F5,1,169514166,human
SELP,1,169603026,human
SELL,1,169690665,human
SELE,1,169733577,human
MFAP2,1,16974502,human
METTL18,1,169793142,human
C1ORF112,1,169795921,human
SCYL3,1,169853074,human
KIFAP3,1,169921331,human
ATP13A2,1,17002320,human
NTMT2,1,170145959,human
SDHB,1,17027749,human
GORAB,1,170532169,human
PRRX1,1,170663937,human
PADI2,1,17079031,human
MROH9,1,170992317,human
FMO3,1,171090919,human
FMO2,1,171185524,human
FMO1,1,171248471,human
FMO4,1,171314183,human
PRRC2C,1,171587073,human
MYOCOS,1,171622243,human
MYOC,1,171635417,human
VAMP4,1,171703950,human
METTL13,1,171781696,human
DNM3,1,171970122,human
PADI1,1,17205128,human
CDK11A,1,1722708,human
PIGC,1,172441457,human
C1ORF105,1,172452893,human
PADI3,1,17249098,human
SUCO,1,172532473,human
FASLG,1,172659144,human
TNFSF18,1,173039202,human
PADI4,1,17308197,human
TNFSF4,1,173183731,human
PRDX6,1,173477335,human
SLC9C2,1,173500460,human
ANKRD45,1,173608336,human
TEX50,1,173635338,human
KLHL20,1,173714981,human
PADI6,1,17372196,human
CENPL,1,173799550,human
DARS2,1,173833428,human
ZBTB37,1,173868956,human
SERPINC1,1,173903800,human
RC3H1,1,173938411,human
RCC2,1,17408676,human
RABGAP1L,1,174159520,human
GPR52,1,174447964,human
CACYBP,1,175000213,human
MRPS14,1,175014245,human
TNN,1,175077419,human
KIAA0040,1,175156987,human
TNR,1,175322799,human
NADK,1,1754343,human
COP1,1,176135010,human
ARHGEF10L,1,17626007,human
PAPPA2,1,176463175,human
ASTN1,1,176868813,human
BRINP2,1,177170958,human
SEC16B,1,177946420,human
ACTL8,1,17822982,human
RASAL2,1,178452437,human
CLEC20A,1,178479247,human
TEX35,1,178520829,human
ANGPTL1,1,178865434,human
RALGPS2,1,178886079,human
FAM20B,1,179025894,human
TOR3A,1,179085372,human
ABL2,1,179110805,human
SOAT1,1,179293714,human
AXDND1,1,179365720,human
NPHS2,1,179550539,human
TDRD5,1,179591832,human
FAM163A,1,179743291,human
TOR1AIP2,1,179865065,human
TOR1AIP1,1,179903966,human
CEP350,1,180093714,human
QSOX1,1,180196682,human
LHX4,1,180248285,human
ACBD6,1,180288230,human
GNB1,1,1804526,human
XPR1,1,180632032,human
KIAA1614,1,180941193,human
STX6,1,180972725,human
MR1,1,181034003,human
IGSF21,1,18107798,human
IER5,1,181088700,human
CACNA1E,1,181483745,human
ZNF648,1,182056304,human
GLUL,1,182381705,human
TEDDM1,1,182398117,human
RGSL1,1,182553470,human
RNASEL,1,182578121,human
RGS16,1,182598623,human
RGS8,1,182665991,human
NPL,1,182794350,human
DHX9,1,182839347,human
SHCBP1L,1,182899865,human
LAMC1,1,183096544,human
LAMC2,1,183186264,human
NMNAT2,1,183248237,human
SMG7,1,183472932,human
NCF2,1,183563272,human
ARPC5,1,183626458,human
APOBEC4,1,183646275,human
RGL1,1,183805120,human
COLGALT2,1,183937965,human
TSEN15,1,184051865,human
C1ORF21,1,184477508,human
EDEM3,1,184691372,human
NIBAN1,1,184791032,human
KLHDC7A,1,18480930,human
RNF2,1,185046096,human
TRMT1L,1,185124840,human
SWT1,1,185157482,human
IVNS1ABP,1,185307680,human
HMCN1,1,186171387,human
PRG4,1,186296279,human
PAX7,1,18631524,human
TPR,1,186353871,human
ODR4,1,186375838,human
PDC,1,186443582,human
PTGS2,1,186674353,human
PLA2G4A,1,186828949,human
TAS1R2,1,18839599,human
ALDH4A1,1,18871432,human
IFFO2,1,18908340,human
BRINP3,1,190454807,human
UBR4,1,19121213,human
CALML6,1,1915260,human
TMEM52,1,1918386,human
RGS18,1,192158462,human
RGS21,1,192316992,human
EMC1,1,19243620,human
MRTO4,1,19251805,human
RGS1,1,192575773,human
RGS13,1,192636138,human
AKR7L,1,19267103,human
RPS27AP5,1,192716183,human
RGS2,1,192809039,human
AKR7A3,1,19282573,human
AKR7A2,1,19304285,human
UCHL5,1,193051792,human
RO60,1,193069232,human
GLRX2,1,193096468,human
CDC73,1,193122180,human
B3GALT2,1,193178730,human
SLC66A1,1,19324754,human
CAPZB,1,19374048,human
MICOS10,1,19596977,human
MICOS10-NBL1,1,19597068,human
KCNT2,1,196227859,human
NBL1,1,19645766,human
HTR6,1,19664875,human
CFH,1,196652056,human
CFHR3,1,196774840,human
CFHR1,1,196819781,human
TMCO4,1,19682240,human
CFHR4,1,196888082,human
CFHR2,1,196943885,human
CFHR5,1,196977556,human
F13B,1,197038741,human
ASPM,1,197104718,human
ZBTB41,1,197158442,human
CRB1,1,197442170,human
DENND1B,1,197642773,human
C1ORF53,1,197902778,human
LHX9,1,197917372,human
RNF186,1,19814029,human
NEK7,1,198220799,human
ATP6V1G3,1,198523224,human
PTPRC,1,198639162,human
CFAP74,1,1987962,human
OTUD3,1,19882395,human
PLA2G2E,1,19920009,human
PLA2G2A,1,19975673,human
NR5A2,1,200042825,human
ZNF281,1,200406730,human
KIF14,1,200551497,human
DDX59,1,200666259,human
PLA2G5,1,20070194,human
CAMSAP2,1,200856094,human
GPR25,1,200872981,human
INAVA,1,200894900,human
KIF21B,1,200973807,human
CACNA1S,1,201039512,human
ASCL5,1,201113943,human
PLA2G2D,1,20112657,human
TMEM9,1,201135801,human
IGFN1,1,201190825,human
PKP1,1,201283703,human
TNNT2,1,201359660,human
LAD1,1,201386893,human
PLA2G2F,1,20139323,human
TNNI1,1,201411402,human
PHLDA3,1,201465958,human
CSRP1,1,201484725,human
PLA2G2C,1,20163991,human
NAV1,1,201786550,human
UBXN10,1,20186096,human
IPO9,1,201874315,human
SHISA4,1,201888898,human
LMOD1,1,201896456,human
TIMM17A,1,201955503,human
RNPEP,1,201996172,human
ELF3,1,202010644,human
GPR37L1,1,202122964,human
ARL8A,1,202133404,human
PTPN7,1,202158118,human
LGR6,1,202214155,human
UBE2T,1,202331738,human
PPP1R12B,1,202539840,human
SYT2,1,202590596,human
GABRD,1,2027629,human
KDM5B,1,202773189,human
RABIF,1,202878282,human
KLHL12,1,202909010,human
ADIPOR1,1,202944983,human
CYB5R1,1,202962926,human
TMEM183A,1,203007374,human
PPFIA4,1,203053746,human
MYOG,1,203083129,human
ADORA1,1,203128373,human
MYBPH,1,203167811,human
CHI3L1,1,203178981,human
CHIT1,1,203216948,human
BTG2,1,203305519,human
VWA5B1,1,20332915,human
FMOD,1,203340661,human
PRELP,1,203475806,human
OPTC,1,203495970,human
ATP2B4,1,203727468,human
LAX1,1,203765183,human
ZBED6,1,203795714,human
ZC3H11A,1,203798846,human
SNRPE,1,203863625,human
SOX13,1,204112916,human
ETNK2,1,204149873,human
REN,1,204154938,human
KISS1,1,204190341,human
GOLT1A,1,204198163,human
PLEKHA6,1,204273626,human
PPP1R15B,1,204403665,human
PIK3C2B,1,204469622,human
MDM4,1,204542789,human
LRRN2,1,204617170,human
CAMK2N1,1,20482391,human
MUL1,1,20499448,human
NFASC,1,204997184,human
CNTN2,1,205065857,human
